date_str,degrees_from_mean,id,lon,lat,max_temp,min_temp,station_name,type,serialid,year,month,day,year_month,state
2004-12-03,-28.83,USC00053662,-106.9672,38.5253,-15.6,-33.9,GUNNISON 3SW,Strong Cold,920292,2004,12,3,2004.12,Colorado
1991-10-31,-19.25,USC00354003,-121.5175,45.6847,5.6,-3.9,HOOD RIVER EXP STN,Strong Cold,2551132,1991,10,31,1991.1,Oregon
1969-01-30,-20.91,USC00040212,-122.4406,38.5731,0.6,-6.7,ANGWIN PAC UNION COL,Strong Cold,397214,1969,1,30,1969.01,California
2007-04-07,-30.57,USC00397545,-100.0356,45.51,-4.4,-13.3,SELBY,Strong Cold,1489649,2007,4,7,2007.04,South Dakota
2009-03-01,-39.73,USC00397742,-97.0392,45.6656,-13.3,-28.9,SISSETON,Strong Cold,1988822,2009,3,1,2009.03,South Dakota
1989-12-22,-42.99,USC00332791,-83.6622,41.0461,-17.2,-27.8,FINDLAY WPCC,Strong Cold,2077030,1989,12,22,1989.12,Ohio
1989-02-08,-45.94,USC00102942,-116.4664,43.8544,-15.6,-26.1,EMMETT 2 E,Strong Cold,2029875,1989,2,8,1989.02,Idaho
1992-08-30,-21.09,USC00390701,-102.465,45.5286,19.4,2.8,BISON,Strong Cold,2170782,1992,8,30,1992.08,South Dakota
1972-12-10,-33.58,USC00104442,-115.8319,43.8383,-11.7,-29.4,IDAHO CITY,Strong Cold,1364652,1972,12,10,1972.12,Idaho
1998-03-11,-26.94,USW00013897,-86.6892,36.1189,0.6,-7.2,NASHVILLE INTL AP,Strong Cold,1351735,1998,3,11,1998.03,Tennessee
1982-02-07,-35.89,USC00051713,-106.7611,38.4461,-15.6,-37.2,COCHETOPA CREEK,Strong Cold,1284415,1982,2,7,1982.02,Colorado
1985-11-22,-20.88,USC00350897,-121.9519,45.6361,-0.6,-5.0,BONNEVILLE DAM,Strong Cold,2354554,1985,11,22,1985.11,Oregon
1972-10-21,-21.95,USC00196486,-70.6961,41.9819,6.7,-5.6,PLYMOUTH-KINGSTON,Strong Cold,1404460,1972,10,21,1972.1,Massachusetts
1997-04-09,-26.32,USC00475255,-90.3439,45.1308,-1.7,-13.3,MEDFORD,Strong Cold,1931218,1997,4,9,1997.04,Wisconsin
2008-10-29,-21.1,USW00012835,-81.8614,26.585,21.1,8.3,FT MYERS PAGE FLD AP,Strong Cold,475249,2008,10,29,2008.1,Florida
2009-03-11,-31.85,USC00457180,-117.3625,47.2325,-5.6,-17.8,ROSALIA,Strong Cold,1944915,2009,3,11,2009.03,Washington
