lon,lat,objectid,siteid,sitename,radartype,antennaelevation,state,color
-98.41304599968551,45.45583300028834,1,KABR,ABERDEEN,NEXRAD,Unknown,South Dakota,#FF0000
-106.82388000034348,35.14972200006362,2,KABX,ALBUQUERQUE,NEXRAD,Unknown,New Mexico,#FF0000
-77.00749100011141,36.98388900017164,3,KAKQ,NORFOLK,NEXRAD,Unknown,Virginia,#FF0000
-101.70926899967584,35.23333300007601,4,KAMA,AMARILLO,NEXRAD,Unknown,Texas,#FF0000
-80.41304800004434,25.61055600002488,5,KAMX,MIAMI,NEXRAD,Unknown,Florida,#FF0000
-84.7195229999189,44.90635000031262,6,KAPX,NCL MICHIGAN,NEXRAD,Unknown,Michigan,#FF0000
-91.19110100001816,43.82277799977928,7,KARX,LA CROSSE,NEXRAD,Unknown,Wisconsin,#FF0000
-122.4956840004155,48.1946109997045,8,KATX,SEATTLE,NEXRAD,Unknown,Washington,#FF0000
-121.63165799998563,39.49611099985612,9,KBBX,BEALE AFB,NEXRAD,Unknown,California,#FF0000
-75.98471299970323,42.199693999875606,10,KBGM,BINGHAMTON,NEXRAD,Unknown,New York,#FF0000
-124.29215800038534,40.498333000263614,11,KBHX,EUREKA (BUNKER HILL),NEXRAD,Unknown,California,#FF0000
-100.76026800041522,46.770832999919456,12,KBIS,BISMARCK,NEXRAD,Unknown,North Dakota,#FF0000
-108.60679599991968,45.853777999786594,13,KBLX,BILLINGS,NEXRAD,Unknown,Montana,#FF0000
-86.76971299965425,33.17194399993019,14,KBMX,BIRMINGHAM,NEXRAD,Unknown,Alabama,#FF0000
-71.1368510003865,41.95577799967618,15,KBOX,BOSTON,NEXRAD,Unknown,Massachusetts,#FF0000
-97.41860300043052,25.9155560000814,16,KBRO,BROWNSVILLE,NEXRAD,Unknown,Texas,#FF0000
-78.73693499979265,42.94861099982226,17,KBUF,BUFFALO,NEXRAD,Unknown,New York,#FF0000
-81.70332499984426,24.596943999597684,18,KBYX,KEY WEST,NEXRAD,Unknown,Florida,#FF0000
-81.11860199998003,33.94861100035038,19,KCAE,COLUMBIA,NEXRAD,Unknown,South Carolina,#FF0000
-67.80640700034621,46.03916699986488,20,KCBW,CARIBOU,NEXRAD,Unknown,Maine,#FF0000
-116.23602300004282,43.490216999930155,21,KCBX,BOISE,NEXRAD,Unknown,Idaho,#FF0000
-78.00388000000346,40.923055999811595,22,KCCX,STATE COLLEGE,NEXRAD,Unknown,Pennsylvania,#FF0000
-81.85999100034172,41.41305599967697,23,KCLE,CLEVELAND,NEXRAD,Unknown,Ohio,#FF0000
-81.04218600005602,32.65552799973926,24,KCLX,"CHARLESTON, SC",NEXRAD,Unknown,South Carolina,#FF0000
-97.4599909996674,35.23833300007292,25,KCRI,ROC FAA REDUNDANT (RDA 1),NEXRAD,Unknown,Oklahoma,#FF0000
-97.51082499971244,27.7838889998536,26,KCRP,CORPUS CHRISTI,NEXRAD,Unknown,Texas,#FF0000
-73.16637900029046,44.51111099975794,27,KCXX,BURLINGTON,NEXRAD,Unknown,Vermont,#FF0000
-104.80610200028843,41.151943999856634,28,KCYS,CHEYENNE,NEXRAD,Unknown,Wyoming,#FF0000
